id,name,box_art_url
"1","Breakfree","https://static-cdn.jtvnw.net/ttv-boxart/Breakfree-{width}x{height}.jpg"
"2","Hyperballoid Deluxe: Survival Pack","https://static-cdn.jtvnw.net/ttv-boxart/./Hyperballoid%20Deluxe:%20Survival%20Pack-{width}x{height}.jpg"
"3","Bass Avenger","https://static-cdn.jtvnw.net/ttv-boxart/Bass%20Avenger-{width}x{height}.jpg"
"4","The Chessmaster 2000","https://static-cdn.jtvnw.net/ttv-boxart/The%20Chessmaster%202000-{width}x{height}.jpg"
"5","Desert Strike: Return to the Gulf","https://static-cdn.jtvnw.net/ttv-boxart/./Desert%20Strike:%20Return%20to%20the%20Gulf-{width}x{height}.jpg"
"6","Camelot Warriors","https://static-cdn.jtvnw.net/ttv-boxart/Camelot%20Warriors-{width}x{height}.jpg"
"7","Super Spy Hunter","https://static-cdn.jtvnw.net/ttv-boxart/Super%20Spy%20Hunter-{width}x{height}.jpg"
"8","Fritz 9: Play Chess","https://static-cdn.jtvnw.net/ttv-boxart/./Fritz%209:%20Play%20Chess-{width}x{height}.jpg"
"9","The Real Deal 2","https://static-cdn.jtvnw.net/ttv-boxart/The%20Real%20Deal%202-{width}x{height}.jpg"
"10","Gothmog's Lair","https://static-cdn.jtvnw.net/ttv-boxart/Gothmog%27s%20Lair-{width}x{height}.jpg"
"11","WWE SmackDown! vs. RAW 2007","https://static-cdn.jtvnw.net/ttv-boxart/WWE%20SmackDown%21%20vs.%20RAW%202007-{width}x{height}.jpg"
"12","Blade & Sword","https://static-cdn.jtvnw.net/ttv-boxart/Blade%20&%20Sword-{width}x{height}.jpg"
"13","Mary-Kate and Ashley: Sweet 16: Licensed to Drive","https://static-cdn.jtvnw.net/ttv-boxart/./Mary-Kate%20and%20Ashley:%20Sweet%2016:%20Licensed%20to%20Drive-{width}x{height}.jpg"
"14","Premier Manager 98","https://static-cdn.jtvnw.net/ttv-boxart/Premier%20Manager%2098-{width}x{height}.jpg"
"15","EGA-Roids","https://static-cdn.jtvnw.net/ttv-boxart/EGA-Roids-{width}x{height}.jpg"
"16","Kampfgruppe","https://static-cdn.jtvnw.net/ttv-boxart/Kampfgruppe-{width}x{height}.jpg"
"17","Aisle","https://static-cdn.jtvnw.net/ttv-boxart/Aisle-{width}x{height}.jpg"
"18","Land of Legends","https://static-cdn.jtvnw.net/ttv-boxart/Land%20of%20Legends-{width}x{height}.jpg"
"19","Burntime","https://static-cdn.jtvnw.net/ttv-boxart/Burntime-{width}x{height}.jpg"
"20","Sportfischen Professional","https://static-cdn.jtvnw.net/ttv-boxart/Sportfischen%20Professional-{width}x{height}.jpg"
"21","Metal Slug X: Super Vehicle - 001","https://static-cdn.jtvnw.net/ttv-boxart/./Metal%20Slug%20X:%20Super%20Vehicle%20-%20001-{width}x{height}.jpg"
"22","Rocky Racers","https://static-cdn.jtvnw.net/ttv-boxart/Rocky%20Racers-{width}x{height}.jpg"
"23","Skramble","https://static-cdn.jtvnw.net/ttv-boxart/Skramble-{width}x{height}.jpg"
"24","The X-Files Game","https://static-cdn.jtvnw.net/ttv-boxart/The%20X-Files%20Game-{width}x{height}.jpg"
"25","Covert Front: Episode One - All Quiet on Covert Front","https://static-cdn.jtvnw.net/ttv-boxart/./Covert%20Front:%20Episode%20One%20-%20All%20Quiet%20on%20Covert%20Front-{width}x{height}.jpg"
"26","BALLOONrain","https://static-cdn.jtvnw.net/ttv-boxart/BALLOONrain-{width}x{height}.jpg"
"27","Pogo","https://static-cdn.jtvnw.net/ttv-boxart/Pogo-{width}x{height}.jpg"
"28","Dragon's Lair","https://static-cdn.jtvnw.net/ttv-boxart/Dragon%27s%20Lair-{width}x{height}.jpg"
"29","Romantic Encounters at the Dome","https://static-cdn.jtvnw.net/ttv-boxart/Romantic%20Encounters%20at%20the%20Dome-{width}x{height}.jpg"
"30","Drug Watch","https://static-cdn.jtvnw.net/ttv-boxart/Drug%20Watch-{width}x{height}.jpg"
"31","Slam City with Scottie Pippen","https://static-cdn.jtvnw.net/ttv-boxart/Slam%20City%20with%20Scottie%20Pippen-{width}x{height}.jpg"
"32","The Ninja","https://static-cdn.jtvnw.net/ttv-boxart/The%20Ninja-{width}x{height}.jpg"
"33","NATO Commander","https://static-cdn.jtvnw.net/ttv-boxart/NATO%20Commander-{width}x{height}.jpg"
"34","The Adventures of Death: Episode One - Emo Harvest on the Oregon Trail","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Adventures%20of%20Death:%20Episode%20One%20-%20Emo%20Harvest%20on%20the%20Oregon%20Trail-{width}x{height}.jpg"
"35","Military Aircraft","https://static-cdn.jtvnw.net/ttv-boxart/Military%20Aircraft-{width}x{height}.jpg"
"36","Humvee Assault","https://static-cdn.jtvnw.net/ttv-boxart/Humvee%20Assault-{width}x{height}.jpg"
"37","Batman Begins","https://static-cdn.jtvnw.net/ttv-boxart/Batman%20Begins-{width}x{height}.jpg"
"38","Uru: Ages Beyond Myst","https://static-cdn.jtvnw.net/ttv-boxart/./Uru:%20Ages%20Beyond%20Myst-{width}x{height}.jpg"
"39","Ganbare Goemon Gaiden: Kieta Ougon Kiseru","https://static-cdn.jtvnw.net/ttv-boxart/./Ganbare%20Goemon%20Gaiden:%20Kieta%20Ougon%20Kiseru-{width}x{height}.jpg"
"40","Virtua Fighter 2","https://static-cdn.jtvnw.net/ttv-boxart/Virtua%20Fighter%202-{width}x{height}.jpg"
"41","Popeye: Rush for Spinach","https://static-cdn.jtvnw.net/ttv-boxart/./Popeye:%20Rush%20for%20Spinach-{width}x{height}.jpg"
"42","FIFA Soccer 07","https://static-cdn.jtvnw.net/ttv-boxart/FIFA%20Soccer%2007-{width}x{height}.jpg"
"43","RC Revenge Pro","https://static-cdn.jtvnw.net/ttv-boxart/RC%20Revenge%20Pro-{width}x{height}.jpg"
"44","Game Box Série Corridas","https://static-cdn.jtvnw.net/ttv-boxart/Game%20Box%20S%C3%A9rie%20Corridas-{width}x{height}.jpg"
"45","F-Zero: Maximum Velocity","https://static-cdn.jtvnw.net/ttv-boxart/./F-Zero:%20Maximum%20Velocity-{width}x{height}.jpg"
"46","The Crackwell Legacy","https://static-cdn.jtvnw.net/ttv-boxart/The%20Crackwell%20Legacy-{width}x{height}.jpg"
"47","Robo Rumble","https://static-cdn.jtvnw.net/ttv-boxart/Robo%20Rumble-{width}x{height}.jpg"
"48","Romance of the Three Kingdoms VIII","https://static-cdn.jtvnw.net/ttv-boxart/Romance%20of%20the%20Three%20Kingdoms%20VIII-{width}x{height}.jpg"
"49","Star Wars","https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars-{width}x{height}.jpg"
"50","Nederland","https://static-cdn.jtvnw.net/ttv-boxart/Nederland-{width}x{height}.jpg"
"51","Final Fantasy XI Online: Treasures of Aht Urhgan","https://static-cdn.jtvnw.net/ttv-boxart/./Final%20Fantasy%20XI%20Online:%20Treasures%20of%20Aht%20Urhgan-{width}x{height}.jpg"
"52","Beyblade","https://static-cdn.jtvnw.net/ttv-boxart/Beyblade-{width}x{height}.jpg"
"53","Squarez Deluxe!","https://static-cdn.jtvnw.net/ttv-boxart/Squarez%20Deluxe%21-{width}x{height}.jpg"
"54","Alexi Lalas International Soccer","https://static-cdn.jtvnw.net/ttv-boxart/Alexi%20Lalas%20International%20Soccer-{width}x{height}.jpg"
"55","Baldur's Gate","https://static-cdn.jtvnw.net/ttv-boxart/Baldur%27s%20Gate-{width}x{height}.jpg"
"56","Nancy Drew: The Final Scene","https://static-cdn.jtvnw.net/ttv-boxart/./Nancy%20Drew:%20The%20Final%20Scene-{width}x{height}.jpg"
"57","Puyo Pop","https://static-cdn.jtvnw.net/ttv-boxart/Puyo%20Pop-{width}x{height}.jpg"
"58","Sid Meier's CivNet","https://static-cdn.jtvnw.net/ttv-boxart/Sid%20Meier%27s%20CivNet-{width}x{height}.jpg"
"59","Pac-Man World","https://static-cdn.jtvnw.net/ttv-boxart/Pac-Man%20World-{width}x{height}.jpg"
"60","NBA Street V3","https://static-cdn.jtvnw.net/ttv-boxart/NBA%20Street%20V3-{width}x{height}.jpg"
"61","Sonic Advance 2","https://static-cdn.jtvnw.net/ttv-boxart/Sonic%20Advance%202-{width}x{height}.jpg"
"62","Iridion 3D","https://static-cdn.jtvnw.net/ttv-boxart/Iridion%203D-{width}x{height}.jpg"
"63","Serious Sam","https://static-cdn.jtvnw.net/ttv-boxart/Serious%20Sam-{width}x{height}.jpg"
"64","CubeDrift","https://static-cdn.jtvnw.net/ttv-boxart/CubeDrift-{width}x{height}.jpg"
"65","7 Colors","https://static-cdn.jtvnw.net/ttv-boxart/7%20Colors-{width}x{height}.jpg"
"66","Math Blaster: Episode 1 - In Search of Spot","https://static-cdn.jtvnw.net/ttv-boxart/./Math%20Blaster:%20Episode%201%20-%20In%20Search%20of%20Spot-{width}x{height}.jpg"
"67","Ancient Egyptian Mehen: The Forbidden Game of the Snake","https://static-cdn.jtvnw.net/ttv-boxart/./Ancient%20Egyptian%20Mehen:%20The%20Forbidden%20Game%20of%20the%20Snake-{width}x{height}.jpg"
"68","Tiger Woods PGA Tour 07","https://static-cdn.jtvnw.net/ttv-boxart/Tiger%20Woods%20PGA%20Tour%2007-{width}x{height}.jpg"
"69","Crash Bandicoot: The Wrath of Cortex","https://static-cdn.jtvnw.net/ttv-boxart/./Crash%20Bandicoot:%20The%20Wrath%20of%20Cortex-{width}x{height}.jpg"
"70","Steel Panthers III: Brigade Command (1939-1999)","https://static-cdn.jtvnw.net/ttv-boxart/./Steel%20Panthers%20III:%20Brigade%20Command%20%281939-1999%29-{width}x{height}.jpg"
"71","Castle Shikigami 2","https://static-cdn.jtvnw.net/ttv-boxart/Castle%20Shikigami%202-{width}x{height}.jpg"
"72","SingStar '80s","https://static-cdn.jtvnw.net/ttv-boxart/SingStar%20%2780s-{width}x{height}.jpg"
"73","Samurai Jack: The Shadow of Aku","https://static-cdn.jtvnw.net/ttv-boxart/./Samurai%20Jack:%20The%20Shadow%20of%20Aku-{width}x{height}.jpg"
"74","The Archers","https://static-cdn.jtvnw.net/ttv-boxart/The%20Archers-{width}x{height}.jpg"
"75","Deflektor","https://static-cdn.jtvnw.net/ttv-boxart/Deflektor-{width}x{height}.jpg"
"76","Ruff and Reddy in the Space Adventure","https://static-cdn.jtvnw.net/ttv-boxart/Ruff%20and%20Reddy%20in%20the%20Space%20Adventure-{width}x{height}.jpg"
"77","Skydiving Extreme","https://static-cdn.jtvnw.net/ttv-boxart/Skydiving%20Extreme-{width}x{height}.jpg"
"78","Mensch Ärgere Dich Nicht!","https://static-cdn.jtvnw.net/ttv-boxart/Mensch%20%C3%84rgere%20Dich%20Nicht%21-{width}x{height}.jpg"
"79","Saboteur","https://static-cdn.jtvnw.net/ttv-boxart/Saboteur-{width}x{height}.jpg"
"80","Fernandez Must Die","https://static-cdn.jtvnw.net/ttv-boxart/Fernandez%20Must%20Die-{width}x{height}.jpg"
"81","Balloon Fight","https://static-cdn.jtvnw.net/ttv-boxart/Balloon%20Fight-{width}x{height}.jpg"
"82","Miner 2049er Volume II","https://static-cdn.jtvnw.net/ttv-boxart/Miner%202049er%20Volume%20II-{width}x{height}.jpg"
"83","B-Wings","https://static-cdn.jtvnw.net/ttv-boxart/B-Wings-{width}x{height}.jpg"
"84","Thexder 95","https://static-cdn.jtvnw.net/ttv-boxart/Thexder%2095-{width}x{height}.jpg"
"85","Arabian Nights","https://static-cdn.jtvnw.net/ttv-boxart/Arabian%20Nights-{width}x{height}.jpg"
"86","The Immortal","https://static-cdn.jtvnw.net/ttv-boxart/The%20Immortal-{width}x{height}.jpg"
"87","Flying Warriors","https://static-cdn.jtvnw.net/ttv-boxart/Flying%20Warriors-{width}x{height}.jpg"
"88","Power Instinct","https://static-cdn.jtvnw.net/ttv-boxart/Power%20Instinct-{width}x{height}.jpg"
"89","Crypt of Medea","https://static-cdn.jtvnw.net/ttv-boxart/Crypt%20of%20Medea-{width}x{height}.jpg"
"90","Kao the Kangaroo","https://static-cdn.jtvnw.net/ttv-boxart/Kao%20the%20Kangaroo-{width}x{height}.jpg"
"91","Hodj 'n' Podj","https://static-cdn.jtvnw.net/ttv-boxart/Hodj%20%27n%27%20Podj-{width}x{height}.jpg"
"92","ArtRageous!","https://static-cdn.jtvnw.net/ttv-boxart/ArtRageous%21-{width}x{height}.jpg"
"93","Jabbertalky","https://static-cdn.jtvnw.net/ttv-boxart/Jabbertalky-{width}x{height}.jpg"
"94","Serious Sam: Next Encounter","https://static-cdn.jtvnw.net/ttv-boxart/./Serious%20Sam:%20Next%20Encounter-{width}x{height}.jpg"
"95","Corsarios","https://static-cdn.jtvnw.net/ttv-boxart/Corsarios-{width}x{height}.jpg"
"96","America Double Barrel Collection","https://static-cdn.jtvnw.net/ttv-boxart/America%20Double%20Barrel%20Collection-{width}x{height}.jpg"
"97","John Elway's Quarterback","https://static-cdn.jtvnw.net/ttv-boxart/John%20Elway%27s%20Quarterback-{width}x{height}.jpg"
"98","Dynamite Bowl","https://static-cdn.jtvnw.net/ttv-boxart/Dynamite%20Bowl-{width}x{height}.jpg"
"99","Monty on the Run","https://static-cdn.jtvnw.net/ttv-boxart/Monty%20on%20the%20Run-{width}x{height}.jpg"
"100","Area 51","https://static-cdn.jtvnw.net/ttv-boxart/Area%2051-{width}x{height}.jpg"
"101","Kid's Kards","https://static-cdn.jtvnw.net/ttv-boxart/Kid%27s%20Kards-{width}x{height}.jpg"
"102","Choplifter II: Rescue Survive","https://static-cdn.jtvnw.net/ttv-boxart/./Choplifter%20II:%20Rescue%20Survive-{width}x{height}.jpg"
"103","Fly Harder","https://static-cdn.jtvnw.net/ttv-boxart/Fly%20Harder-{width}x{height}.jpg"
"104","Blackjack","https://static-cdn.jtvnw.net/ttv-boxart/Blackjack-{width}x{height}.jpg"
"105","Heartlight","https://static-cdn.jtvnw.net/ttv-boxart/Heartlight-{width}x{height}.jpg"
"106","Pilotwings 64","https://static-cdn.jtvnw.net/ttv-boxart/Pilotwings%2064-{width}x{height}.jpg"
"107","Shock Wave 2: Beyond the Gate","https://static-cdn.jtvnw.net/ttv-boxart/./Shock%20Wave%202:%20Beyond%20the%20Gate-{width}x{height}.jpg"
"108","Shengnü zhi Ge: Heroine Anthem II: The Angel of Sarem","https://static-cdn.jtvnw.net/ttv-boxart/./Shengn%C3%BC%20zhi%20Ge:%20Heroine%20Anthem%20II:%20The%20Angel%20of%20Sarem-{width}x{height}.jpg"
"109","Space Channel 5: Part 2","https://static-cdn.jtvnw.net/ttv-boxart/./Space%20Channel%205:%20Part%202-{width}x{height}.jpg"
"110","A-Train + Construction Set","https://static-cdn.jtvnw.net/ttv-boxart/A-Train%20+%20Construction%20Set-{width}x{height}.jpg"
"111","Snowy: Treasure Hunter 3","https://static-cdn.jtvnw.net/ttv-boxart/./Snowy:%20Treasure%20Hunter%203-{width}x{height}.jpg"
"112","Nail'N Scale","https://static-cdn.jtvnw.net/ttv-boxart/Nail%27N%20Scale-{width}x{height}.jpg"
"113","Söldner-X: Himmelsstürmer","https://static-cdn.jtvnw.net/ttv-boxart/./S%C3%B6ldner-X:%20Himmelsst%C3%BCrmer-{width}x{height}.jpg"
"114","Word Connect","https://static-cdn.jtvnw.net/ttv-boxart/Word%20Connect-{width}x{height}.jpg"
"115","Anacreon: Imperial Conquest in the Far Future","https://static-cdn.jtvnw.net/ttv-boxart/./Anacreon:%20Imperial%20Conquest%20in%20the%20Far%20Future-{width}x{height}.jpg"
"116","House of the Dead 2 & 3 Return","https://static-cdn.jtvnw.net/ttv-boxart/House%20of%20the%20Dead%202%20&%203%20Return-{width}x{height}.jpg"
"117","College Slam","https://static-cdn.jtvnw.net/ttv-boxart/College%20Slam-{width}x{height}.jpg"
"118","The Sacred Amulet","https://static-cdn.jtvnw.net/ttv-boxart/The%20Sacred%20Amulet-{width}x{height}.jpg"
"119","Konami's Boxing","https://static-cdn.jtvnw.net/ttv-boxart/Konami%27s%20Boxing-{width}x{height}.jpg"
"120","Illbleed","https://static-cdn.jtvnw.net/ttv-boxart/Illbleed-{width}x{height}.jpg"
"121","Shining Tears","https://static-cdn.jtvnw.net/ttv-boxart/Shining%20Tears-{width}x{height}.jpg"
"122","Return to Eden","https://static-cdn.jtvnw.net/ttv-boxart/Return%20to%20Eden-{width}x{height}.jpg"
"123","Elevators Amiss","https://static-cdn.jtvnw.net/ttv-boxart/Elevators%20Amiss-{width}x{height}.jpg"
"124","Cardinal Syn","https://static-cdn.jtvnw.net/ttv-boxart/Cardinal%20Syn-{width}x{height}.jpg"
"125","Shadows of Cairn","https://static-cdn.jtvnw.net/ttv-boxart/Shadows%20of%20Cairn-{width}x{height}.jpg"
"126","Tearaway Thomas","https://static-cdn.jtvnw.net/ttv-boxart/Tearaway%20Thomas-{width}x{height}.jpg"
"127","Enraged Rocket House","https://static-cdn.jtvnw.net/ttv-boxart/Enraged%20Rocket%20House-{width}x{height}.jpg"
"128","Army Men Air Combat: The Elite Missions","https://static-cdn.jtvnw.net/ttv-boxart/./Army%20Men%20Air%20Combat:%20The%20Elite%20Missions-{width}x{height}.jpg"
"129","Goin' Down with the Captain","https://static-cdn.jtvnw.net/ttv-boxart/Goin%27%20Down%20with%20the%20Captain-{width}x{height}.jpg"
"130","NetHack","https://static-cdn.jtvnw.net/ttv-boxart/NetHack-{width}x{height}.jpg"
"131","The Lost Admiral","https://static-cdn.jtvnw.net/ttv-boxart/The%20Lost%20Admiral-{width}x{height}.jpg"
"132","Close Combat: Invasion - Normandy","https://static-cdn.jtvnw.net/ttv-boxart/./Close%20Combat:%20Invasion%20-%20Normandy-{width}x{height}.jpg"
"133","Once Upon A Time: Little Red Riding Hood","https://static-cdn.jtvnw.net/ttv-boxart/./Once%20Upon%20A%20Time:%20Little%20Red%20Riding%20Hood-{width}x{height}.jpg"
"134","David Wolf: Secret Agent","https://static-cdn.jtvnw.net/ttv-boxart/./David%20Wolf:%20Secret%20Agent-{width}x{height}.jpg"
"135","Bill's Tomato Game","https://static-cdn.jtvnw.net/ttv-boxart/Bill%27s%20Tomato%20Game-{width}x{height}.jpg"
"136","Hero's Puzzle Path","https://static-cdn.jtvnw.net/ttv-boxart/Hero%27s%20Puzzle%20Path-{width}x{height}.jpg"
"137","Dark Sun: Shattered Lands","https://static-cdn.jtvnw.net/ttv-boxart/./Dark%20Sun:%20Shattered%20Lands-{width}x{height}.jpg"
"138","Police Quest: In Pursuit of the Death Angel","https://static-cdn.jtvnw.net/ttv-boxart/./Police%20Quest:%20In%20Pursuit%20of%20the%20Death%20Angel-{width}x{height}.jpg"
"139","Captain Planet and the Planeteers","https://static-cdn.jtvnw.net/ttv-boxart/Captain%20Planet%20and%20the%20Planeteers-{width}x{height}.jpg"
