Game,Badge Name,Location,Champion,url
Red / Green / Blue,Boulder,Pewter City,Brock,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/boulder.png
Red / Green / Blue,Cascade ,Cerulean City,Misty,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/cascade.png
Red / Green / Blue,Thunder ,Vermilion City,Lt. Surge,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/thunder.png
Red / Green / Blue,Rainbow ,Celadon City,Erika,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/rainbow.png
Red / Green / Blue,Soul ,Fuchsia City,Koga,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/soul.png
Red / Green / Blue,Marsh ,Saffron City,Sabrina,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/marsh.png
Red / Green / Blue,Volcano ,Cinnabar Island,Blaine,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/volcano.png
Red / Green / Blue,Earth ,Viridian City,Giovanni,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/redgreenblue/earth.png
Gold / Silver,Zephyr,Violet City,Falkner,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/zephyr.png
Gold / Silver,Hive,Azalea Town,Bugsy,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/hive.png
Gold / Silver,Plain,Goldenrod City,Whitney,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/plain.png
Gold / Silver,Fog,Ecruteak City,Morty,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/fog.png
Gold / Silver,Storm,Cianwood City,Chuck,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/storm.png
Gold / Silver,Mineral,Olivine City,Jasmine,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/mineral.png
Gold / Silver,Glacier,Mahogany Town,Pryce,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/glacier.png
Gold / Silver,Rising,Blackthorn City,Clair,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/goldsilver/rising.png
Ruby / Sapphire / Emerald,Stone,Rustboro City,Roxanne,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/stone.png
Ruby / Sapphire / Emerald,Knuckle,Dewford Town,Brawly,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/knuckle.png
Ruby / Sapphire / Emerald,Dynamo,Mauville City,Wattson,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/dynamo.png
Ruby / Sapphire / Emerald,Heat,Lavaridge Town,Flannery,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/heat.png
Ruby / Sapphire / Emerald,Balance,Petalburg City,Norman,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/balance.png
Ruby / Sapphire / Emerald,Feather,Fortree City,Winona,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/feather.png
Ruby / Sapphire / Emerald,Mind,Mossdeep City,Tate and Liza,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/mind.png
Ruby / Sapphire / Emerald,Rain,Sootopolis City,Wallace,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/rubysapphireemerald/rain.png
Diamond / Pearl / Platinum,Coal,Oreburgh City,Roark,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/coal.png
Diamond / Pearl / Platinum,Forest,Eterna City,Gardenia,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/forest.png
Diamond / Pearl / Platinum,Cobble,Veilstone City,Maylene,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/cobble.png
Diamond / Pearl / Platinum,Fen,Pastoria City,Crasher Wake,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/fen.png
Diamond / Pearl / Platinum,Relic,Hearthome City,Fantina,https://raw.githubusercontent.com/MythMega/mythmega.github.io.assets/refs/heads/master/assets/category/pokemon/badges/diamondpearlplatinum/relic.png
