Game,Badge Name,Location,Champion,url
Red / Green / Blue,Boulder,Pewter City,Brock,https://archives.bulbagarden.net/media/upload/thumb/d/dd/Boulder_Badge.png/50px-Boulder_Badge.png
Red / Green / Blue,Cascade ,Cerulean City,Misty,https://archives.bulbagarden.net/media/upload/thumb/9/9c/Cascade_Badge.png/50px-Cascade_Badge.png
Red / Green / Blue,Thunder ,Vermilion City,Lt. Surge,https://archives.bulbagarden.net/media/upload/thumb/a/a6/Thunder_Badge.png/50px-Thunder_Badge.png
Red / Green / Blue,Rainbow ,Celadon City,Erika,https://archives.bulbagarden.net/media/upload/thumb/b/b5/Rainbow_Badge.png/50px-Rainbow_Badge.png
Red / Green / Blue,Soul ,Fuchsia City,Koga,https://archives.bulbagarden.net/media/upload/thumb/7/7d/Soul_Badge.png/50px-Soul_Badge.png
Red / Green / Blue,Marsh ,Saffron City,Sabrina,https://archives.bulbagarden.net/media/upload/thumb/6/6b/Marsh_Badge.png/50px-Marsh_Badge.png
Red / Green / Blue,Volcano ,Cinnabar Island,Blaine,https://archives.bulbagarden.net/media/upload/thumb/1/12/Volcano_Badge.png/50px-Volcano_Badge.png
Red / Green / Blue,Earth ,Viridian City,Giovanni,https://archives.bulbagarden.net/media/upload/thumb/7/78/Earth_Badge.png/50px-Earth_Badge.png
Gold / Silver,Zephyr,Violet City,Falkner,https://archives.bulbagarden.net/media/upload/thumb/4/4a/Zephyr_Badge.png/50px-Zephyr_Badge.png
Gold / Silver,Hive,Azalea Town,Bugsy,https://archives.bulbagarden.net/media/upload/thumb/0/08/Hive_Badge.png/50px-Hive_Badge.png
Gold / Silver,Plain,Goldenrod City,Whitney,https://archives.bulbagarden.net/media/upload/thumb/a/a7/Plain_Badge.png/50px-Plain_Badge.png
Gold / Silver,Fog,Ecruteak City,Morty,https://archives.bulbagarden.net/media/upload/thumb/4/48/Fog_Badge.png/50px-Fog_Badge.png
Gold / Silver,Storm,Cianwood City,Chuck,https://archives.bulbagarden.net/media/upload/thumb/b/b9/Storm_Badge.png/50px-Storm_Badge.png
Gold / Silver,Mineral,Olivine City,Jasmine,https://archives.bulbagarden.net/media/upload/thumb/7/7b/Mineral_Badge.png/50px-Mineral_Badge.png
Gold / Silver,Glacier,Mahogany Town,Pryce,https://archives.bulbagarden.net/media/upload/thumb/e/e6/Glacier_Badge.png/50px-Glacier_Badge.png
Gold / Silver,Rising,Blackthorn City,Clair,https://archives.bulbagarden.net/media/upload/thumb/5/58/Rising_Badge.png/50px-Rising_Badge.png
Ruby / Sapphire / Emerald,Stone,Rustboro City,Roxanne,https://archives.bulbagarden.net/media/upload/thumb/6/63/Stone_Badge.png/50px-Stone_Badge.png
Ruby / Sapphire / Emerald,Knuckle,Dewford Town,Brawly,https://archives.bulbagarden.net/media/upload/thumb/9/97/Knuckle_Badge.png/50px-Knuckle_Badge.png
Ruby / Sapphire / Emerald,Dynamo,Mauville City,Wattson,https://archives.bulbagarden.net/media/upload/thumb/3/34/Dynamo_Badge.png/50px-Dynamo_Badge.png
Ruby / Sapphire / Emerald,Heat,Lavaridge Town,Flannery,https://archives.bulbagarden.net/media/upload/thumb/c/c4/Heat_Badge.png/50px-Heat_Badge.png
